number,question
1,"You see yourself as a person who is reserved"
2,"You see yourself as a person who normally trust people"
3,"You see yourself as a person who is easy-going"
4,"You see yourself as a person who is relaxed and doesn't easily get stressed"
5,"You see yourself as a person who have few artistic interests"
6,"You see yourself as a person who is outgoing/extrovert"
7,"You see yourself as a person who has a tendency to focus on other people's mistakes/flaws"
8,"You see yourself as a person who is meticulous/precise with you work"
9,"You see yourself as a person who easily gets nervous or uncertain"
10,"You see yourself as a person who has a good imagination"
