number,question
1,"I might be willing to try eating monkey meat, under some circumstances."
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar."
3,"It bothers me to hear someone clear a throat full of mucous."
4,"I never let any part of my body touch the toilet seat in public restrooms."
5,"I would go out of my way to avoid walking through a graveyard."
6,"Seeing a cockroach in someone else's house doesn't bother me."
7,"It would bother me tremendously to touch a dead body."
8,"If I see someone vomit, it makes me sick to my stomach."
9,"I probably would not go to my favorite restaurant if I found out that the cook had a cold."
10,"It would not upset me at all to watch a person with a glass eye take the eye out of the socket."
11,"It would bother me to see a rat run across my path in a park."
12,"I would rather eat a piece of fruit than a piece of paper."
13,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been stirred by a used but thorougly washed flyswatter."
14,"It would bother me to sleep in a nice hotel room if I knew that a man had died of a heart attack in that room the night before."
15,"You see maggots on a piece of meat in an outdoor garbage pail."
16,"You see a person eating an apple with a knife and fork."
17,"While you are walking through a tunnel under a railroad track, you smell urine."
18,"You take a sip of soda, and then realize that you drank from the glass that an acquantance of yours had been drinking from."
19,"Your friend's pet cat dies, and you have to pick up the dead body with your bare hands."
20,"You see someone put ketchup on vanilla ice cream, and eat it."
21,"You see a man with his intestines exposed after an accident."
22,"You discover that a friend of yours changes underwear only once a week."
23,"A friend offers you a piece of chocolate shaped like dog-doo."
24,"You accidentally touch the ashes of a person who has been cremated."
25,"You are about to drink a glass of milk when you smell that it is spoiled."
26,"As part of a sex education class, you are required to inflate a new unlubricated condom, using your mouth."
27,"You are walking barefoot on concrete, and you step on an earthworm."
